event_name,event_date,event_city,event_state,event_country,event_url
UFC 202: Diaz vs. McGregor 2,2016-08-20,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/5da4e8dc02e50ac0
UFC Fight Night: Rodriguez vs. Caceres,2016-08-06,Salt Lake City,Utah,USA,http://ufcstats.com/event-details/232c582f29f8f65e
UFC 201: Lawler vs. Woodley,2016-07-30,Atlanta,Georgia,USA,http://ufcstats.com/event-details/72cbe507644a587c
UFC on FOX: Holm vs. Shevchenko,2016-07-23,Chicago,Illinois,USA,http://ufcstats.com/event-details/8a028648f3f0761d
UFC Fight Night: McDonald vs. Lineker,2016-07-13,Sioux Falls,South Dakota,USA,http://ufcstats.com/event-details/5e7a28f20927d64a
UFC 200: Tate vs Nunes,2016-07-09,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/aa5b4eff51bdc7d1
The Ultimate Fighter: Team Joanna vs. Team Cláudia Finale,2016-07-08,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/cd42bbe8887bba90
UFC Fight Night: Dos Anjos vs. Alvarez,2016-07-07,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/45a2ba3ef82b9700
UFC Fight Night: MacDonald vs Thompson,2016-06-18,Ottawa,Ontario,Canada,http://ufcstats.com/event-details/563d051c9e769b24
UFC 199: Rockhold vs. Bisping 2,2016-06-04,Los Angeles,California,USA,http://ufcstats.com/event-details/ff4c3ab594c7fac3
UFC Fight Night: Almeida vs Garbrandt,2016-05-29,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/990060b2a68a7b82
UFC 198: Werdum vs Miocic,2016-05-14,Curitiba,Parana,Brazil,http://ufcstats.com/event-details/a4bf17bd3ba3423b
UFC Fight Night: Overeem vs Arlovski,2016-05-08,Rotterdam,Zuid-Holland,Netherlands,http://ufcstats.com/event-details/a314687f372b2cec
UFC 197: Jones vs Saint Preux,2016-04-23,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/3d481aa374c954a1
UFC on FOX: Teixeira vs Evans,2016-04-16,Tampa,Florida,USA,http://ufcstats.com/event-details/e7e970d508529bf3
UFC Fight Night: Rothwell vs Dos Santos,2016-04-10,Zagreb,NULL,Croatia,http://ufcstats.com/event-details/4887e5bc4dbb73ff
UFC Fight Night: Hunt vs Mir,2016-03-19,Brisbane,Queensland,Australia,http://ufcstats.com/event-details/e60201cfab7d656d
UFC 196: McGregor vs Diaz,2016-03-05,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/db1f2ed63b54b9a7
UFC Fight Night: Silva vs Bisping,2016-02-27,London,England,United Kingdom,http://ufcstats.com/event-details/39c568f8c579913e
UFC Fight Night: Cowboy vs Cowboy,2016-02-21,Pittsburgh,Pennsylvania,USA,http://ufcstats.com/event-details/d56bb6dff2ae77eb
UFC Fight Night: Hendricks vs Thompson,2016-02-06,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/de99da2c0d18d34a
UFC on FOX: Johnson vs. Bader,2016-01-30,Newark,New Jersey,USA,http://ufcstats.com/event-details/b3fb8d2293e17a59
UFC Fight Night: Dillashaw vs Cruz,2016-01-17,Boston,Massachusetts,USA,http://ufcstats.com/event-details/c6becb722706c7d8
UFC 195: Lawler vs Condit,2016-01-02,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/380e8b023290d091
UFC on FOX: Dos Anjos vs. Cowboy 2,2015-12-19,Orlando,Florida,USA,http://ufcstats.com/event-details/80d918336163b80c
UFC 194: Aldo vs McGregor,2015-12-12,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/354808cf38d9d73c
The Ultimate Fighter: Team McGregor vs. Team Faber Finale,2015-12-11,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/20fbff570c678e1c
UFC Fight Night: Namajunas vs. VanZant,2015-12-10,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/dd39f1ca787a3d9d
UFC Fight Night: Henderson vs Masvidal,2015-11-28,Seoul,NULL,South Korea,http://ufcstats.com/event-details/4d636c3aa1105950
UFC Fight Night: Magny vs Gastelum,2015-11-21,Monterrey,Nuevo Leon,Mexico,http://ufcstats.com/event-details/243b07fc65ccbb16
UFC 193: Rousey vs Holm,2015-11-14,Melbourne,Victoria,Australia,http://ufcstats.com/event-details/8d04923f2db59b7f
UFC Fight Night: Belfort vs Henderson 3,2015-11-07,Sao Paulo,Sao Paulo,Brazil,http://ufcstats.com/event-details/5345f86680378fc1
UFC Fight Night: Holohan vs Smolka,2015-10-24,Dublin,Leinster,Ireland,http://ufcstats.com/event-details/f3155a94ca420126
UFC 192: Cormier vs Gustafsson,2015-10-03,Houston,Texas,USA,http://ufcstats.com/event-details/119ebea97e914dcf
UFC Fight Night: Barnett vs Nelson,2015-09-26,Saitama,NULL,Japan,http://ufcstats.com/event-details/a4dd5c9a75763295
UFC 191: Johnson vs Dodson 2,2015-09-05,Las Vegas,Nevada,USA,http://ufcstats.com/event-details/82f5c81f4e3c3eb5
UFC Fight Night: Holloway vs Oliveira,2015-08-23,Saskatoon,Saskatchewan,Canada,http://ufcstats.com/event-details/2ce6541127b0e232
UFC Fight Night: Teixeira vs Saint Preux,2015-08-08,Nashville,Tennessee,USA,http://ufcstats.com/event-details/b71667c778b6d9e5
UFC 190: Rousey vs Correia,2015-08-01,Rio de Janeiro,Rio de Janeiro,Brazil,http://ufcstats.com/event-details/a9c45a8b21eabadc
