fighter_f_name,fighter_l_name,fighter_nickname,fighter_height_cm,fighter_weight_lbs,fighter_reach_cm,fighter_stance,fighter_dob,fighter_w,fighter_l,fighter_d,fighter_nc_dq,fighter_url
Michael,Page,Venom,190.5,170,200.66,Switch,1987-04-07,22,3,0,NULL,http://ufcstats.com/fighter-details/a67d071163962af8
Dustin,Pague,The Disciple,175.26,135,187.96,Orthodox,1987-08-05,12,11,0,NULL,http://ufcstats.com/fighter-details/55f80a8aeffcdb33
Josh,Paiva,NULL,167.64000000000001,125,NULL,,1991-04-05,8,2,0,NULL,http://ufcstats.com/fighter-details/1e12c1dbbb1e2dda
Raulian,Paiva,NULL,172.72,135,175.26,Orthodox,1995-10-17,21,5,0,NULL,http://ufcstats.com/fighter-details/82b4e942781b1046
Dinis,Paiva Jr.,Sweetbread,175.26,145,180.34,Southpaw,1988-05-26,13,8,0,NULL,http://ufcstats.com/fighter-details/ad3a5e465c76e499
Fredson,Paixao,NULL,167.64000000000001,145,167.64,Orthodox,1979-05-13,10,5,0,1,http://ufcstats.com/fighter-details/320edfb0332b7073
Luis,Pajuelo,Corazon de Leon,177.8,145,175.26,Orthodox,1994-12-18,8,2,0,NULL,http://ufcstats.com/fighter-details/e530df53922f413e
Jose,Palacios,NULL,175.26,145,NULL,Orthodox,NULL,3,2,0,NULL,http://ufcstats.com/fighter-details/de20ffb3fc2e7629
Ricky,Palacios,El Gallero,167.64000000000001,145,NULL,Orthodox,1987-07-05,10,1,0,NULL,http://ufcstats.com/fighter-details/797ddccda75f169f
Bart,Palaszewski,Bartimus,175.26,145,177.8,Orthodox,1983-05-30,36,17,0,NULL,http://ufcstats.com/fighter-details/4304992c2acc187b
Sasha,Palatnikov,NULL,185.42,170,182.88,Switch,1989-03-15,6,4,0,NULL,http://ufcstats.com/fighter-details/a6c20202c701e5ca
Soa,Palelei,The Hulk,193.04,265,205.74,Orthodox,1977-07-12,22,5,0,NULL,http://ufcstats.com/fighter-details/60029bcf496bd707
Rousimar,Palhares,Toquinho,172.72,170,180.34,Orthodox,1980-02-26,19,8,0,NULL,http://ufcstats.com/fighter-details/8ddf9c51c5fdea75
Tulio,Palhares,NULL,NULL,180,NULL,,NULL,2,16,0,NULL,http://ufcstats.com/fighter-details/e8c170a64dc920ac
Stephen,Palling,Bozo,162.56,143,NULL,,1967-01-29,11,7,1,NULL,http://ufcstats.com/fighter-details/ab7c212de9f66af0
Eduardo,Pamplona,NULL,180.34,170,NULL,,1973-02-20,16,4,0,NULL,http://ufcstats.com/fighter-details/f31c0905045fa100
Ruel,Panales,NULL,165.1,125,170.18,Southpaw,1996-12-07,6,2,0,1,http://ufcstats.com/fighter-details/2742f028399bf8c7
Yuri,Panferov,The Russian Polar Bear,185.42,185,182.88,Orthodox,1996-08-30,6,1,0,NULL,http://ufcstats.com/fighter-details/36d811b015635b67
Alexandre,Pantoja,The Cannibal,165.1,125,170.18,Orthodox,1990-04-16,28,5,0,NULL,http://ufcstats.com/fighter-details/a0f0004aadf10b71
Jared,Papazian,The Jackhammer,172.72,135,170.18,Southpaw,1988-02-01,20,13,0,1,http://ufcstats.com/fighter-details/edad57b3dddf2168
Kathryn,Paprocki,NULL,160.02,115,160.02,Orthodox,1993-04-28,3,2,0,NULL,http://ufcstats.com/fighter-details/bd381cde8426077a
Joe,Pardo,NULL,185.42,210,NULL,Southpaw,NULL,4,6,0,NULL,http://ufcstats.com/fighter-details/74fefd43f073cd2f
Bryan,Pardoe,Pain Inducer,185.42,205,NULL,Orthodox,NULL,13,16,0,NULL,http://ufcstats.com/fighter-details/56116537d71a578c
Remco,Pardoel,Grizzly,190.5,260,NULL,Southpaw,NULL,9,6,1,2,http://ufcstats.com/fighter-details/749685d24e2cac50
Ido,Pariente,NULL,172.72,155,NULL,Orthodox,NULL,13,6,0,NULL,http://ufcstats.com/fighter-details/7573d25a078b5732
Josh,Parisian,NULL,193.04,265,200.66,Orthodox,1989-06-28,15,8,0,NULL,http://ufcstats.com/fighter-details/b5da8f7d05e85a55
Karo,Parisyan,The Heat,177.8,170,182.88,Orthodox,1982-08-28,24,11,0,1,http://ufcstats.com/fighter-details/349aaa3da11eb587
Won,Sik Park,Parky,180.34,154,NULL,Orthodox,NULL,11,7,1,1,http://ufcstats.com/fighter-details/9df394db5ca103eb
JunYong,Park,The Iron Turtle,177.8,185,185.42,Orthodox,1991-02-27,17,6,0,NULL,http://ufcstats.com/fighter-details/285ae0b4a68221f4
Harvey,Park,Fightbot,182.88,155,177.8,Orthodox,1986-03-22,12,3,0,NULL,http://ufcstats.com/fighter-details/b709b534b6873744
HyunSung,Park,Peace of Mind,170.18,125,167.64,Orthodox,1995-11-04,9,0,0,NULL,http://ufcstats.com/fighter-details/b671bdf981ad527d
Jae,Hyun Park,The First Prospect,172.72,155,182.88,Orthodox,2001-12-12,6,2,0,NULL,http://ufcstats.com/fighter-details/fe1595732dfb08fc
Norman,Parke,Stormin',180.34,155,177.8,Southpaw,1986-12-22,23,6,1,NULL,http://ufcstats.com/fighter-details/14ff46596ad80609
